"Name","2019 Population","GDP (IMF)","GDP (UN '16)","GDP Per Capita"
"United States",329093.11,21410.23,18624.475,65058.27484507349
"China",1420062.0219999999,15543.71,11218.281029298,10945.79656324335
"Japan",126854.745,5362.22,4936.211827875,42270.55125135445
"Germany",82438.63900000001,4416.8,3477.796274497,53576.81851103825
"India",1368737.513,3155.23,2259.642382872,2305.2118978491094
"France",65480.71,3060.07,2465.453975282,46732.38882107418
"United Kingdom",66959.016,3022.58,2647.898654635,45140.746990666645
"Italy",59216.525,2261.46,1858.913163928,38189.6776279932
"Brazil",212392.717,2256.85,1795.925681016,10625.83515987509
"Canada",37279.811,1908.53,1529.760492201,51194.73379304417
"South Korea",51339.238,1777.65,1411.245589977,34625.562615479415
"Russia",143895.551,1754.29,1246.015056927,12191.412366877137
"Spain",46441.049000000006,1583.87,1237.255019654,34104.95744831258
"Australia",25088.636000000002,1581.89,1304.463104965,63052.05273016835
"Mexico",132328.035,1285.08,1076.914464477,9711.320809683299
"Indonesia",269536.482,1152.89,932.259177621,4277.305956675653
"Netherlands",17132.908,994.771,777.227541581,58062.00558597525
"Turkey",82961.805,961.655,863.711710542,11591.539022083718
"Switzerland",8608.259,779.327,668.851296244,90532.47584674206
"Saudi Arabia",34140.662000000004,759.219,639.617050945,22237.969492214295
"Argentina",45101.780999999995,659.694,545.866164479,14626.783807051877
"Poland",38028.278,649.974,471.402266588,17091.859904884466
"Sweden",10053.135,628.802,514.475856961,62547.85198845932
"Taiwan",23758.247000000003,620.6,0,26121.455846468805
"Belgium",11562.784,587.699,467.955267357,50826.77320617595
"Thailand",69306.16,520.074,407.026319505,7504.008301715171
"Austria",8766.201,503.538,390.799991147,57440.84581222813
"Nigeria",200962.417,475.566,404.649125399,2366.442477649938
"Norway",5400.916,460.177,371.068933176,85203.50992313155
"United Arab Emirates",9682.088,427.83,348.74362762,44187.78263531585
"Iran",82820.766,413.114,425.402616011,4988.048528795302
"Ireland",4847.139,409.225,304.819019837,84426.09134996953
"Malaysia",32454.455,402.605,296.531469473,12405.230653233893
"Israel",8583.916,390.656,317.74757975,45510.230994804704
"Hong Kong",7490.776,387.983,320.912235499,51794.767324506836
"South Africa",58065.097,386.853,295.440009818,6662.401683407159
"Denmark",5775.224,386.403,306.89965341,66907.01520841442
"Singapore",5868.104,367.783,296.946278392,62674.928733369416
"Philippines",108106.31,355.744,304.905638877,3290.686732347076
"Colombia",49849.818,347.027,282.462551367,6961.449688743096
"Bangladesh",168065.92,312.794,220.836732893,1861.1387722150926
"Finland",5561.389,304.133,238.502900312,54686.51806230422
"Chile",18336.653000000002,295.844,247.045730477,16134.024022813757
